2019-07-24 13:31:16,b'#Lynchistan High Court Judge is a racist believes in superiority of his race over everyone else. This mindset creat\xe2\x80\xa6 https://t.co/nTrKUxz7jY'
2019-07-24 13:31:09,b'RT @SanTosHViratngr: @DrJitendraSingh @PIB_India @BJPLive @PMOIndia @narendramodi @AmitShah @Ramlal @arunjaitley @JPNadda #IncreaseSSCCGL20\xe2\x80\xa6'
2019-07-24 13:31:04,"b'RT @indianholiday: The middle land between #India and #Tibet, located in #HimachalPradesh is haven of #monasteries, #TrekkingTrails, #adven\xe2\x80\xa6'"
2019-07-24 13:31:01,"b'RT @MirMAKOfficial: @cjwerleman There is a song trending in #India right now in Hindi, when translated it means \n\nIf you don\xe2\x80\x99t say JAI SHRI\xe2\x80\xa6'"
2019-07-24 13:30:56,b'RT @KanchanGupta: Good morning #India.\nA week is a long time in politics. A year is an era. [24 May 2018] https://t.co/tuOoJowzme'
2019-07-24 13:30:56,"b'RT @Travelsiteindia: #Kedartal (#Shiva\xe2\x80\x99s Lake) -a striking #glaciallake located at an elevation of 4,750m in #Garhwal region of #Himalayas\xe2\x80\xa6'"
2019-07-24 13:30:55,"b'#PlastiVision #India 2020 is organized in #Mumbai. With a vast pool of opportunities available, you can scale your\xe2\x80\xa6 https://t.co/CSI1vShJvg'"
2019-07-24 13:30:30,b'How #smartphone buying is changing in #India https://t.co/bBGv6z4Lrp via @FinancialXpress'
2019-07-24 13:30:29,b'RT @RT_com: Stunning yet pleasant news coming straight from \xf0\x9f\x87\xb5\xf0\x9f\x87\xb0#Pakistan PM Imran Khan - he said he would be willing to give up his nation\xe2\x80\x99s\xe2\x80\xa6'
2019-07-24 13:30:24,b'#cityofinvestmnt managed forex #cityofinvestment #Assetmanagement #forexnews #forextrading #investing \xe2\x82\xac #Singapore\xe2\x80\xa6 https://t.co/C6368I7A70'
2019-07-24 13:30:17,"b""RT @KanchanGupta: 'A Monsoon Requiem for Times Long Past'. An essay I wrote some time ago. Reminded of it by the thunderous hoofbeats of ra\xe2\x80\xa6"""
2019-07-24 13:30:17,b'RT @FinTech_Futures: JCB International has launched its first brand card to be issued in India in partnership with National Payments Corpor\xe2\x80\xa6'
2019-07-24 13:30:14,"b'Subdued demand, recent investments made for transition from BS IV to BS VI emission norms, lack of clarity on elect\xe2\x80\xa6 https://t.co/b4Kigqj5TJ'"
2019-07-24 13:30:05,b'Purchase the best decorative items for your Independence Day celebration from #Enjoy. Let each corner of your place\xe2\x80\xa6 https://t.co/YbZHfivs4L'
2019-07-24 13:30:01,b'A great meeting with #US Secretary of Transportation Elaine L. Chao @SecElaineChao with whom I discussed further st\xe2\x80\xa6 https://t.co/75zN4xjhDe'
2019-07-24 13:30:00,b'JCB International has launched its first brand card to be issued in India in partnership with National Payments Cor\xe2\x80\xa6 https://t.co/nIZFQK7V41'
2019-07-24 13:29:57,b'RT @behindwoods: Virat Kohli is the ONLY INDIAN out of this top 16 achievers in World! \n\nhttps://t.co/BLA5QhACPM\n\n#ViratKohli #achievers #I\xe2\x80\xa6'
2019-07-24 13:29:56,b'RT @TKrishna_Mishra: The Moot Question Is Do These 49 Celebrities Represent 130 Crore #Indians! Will these 49 Celebrities Also Join To Supp\xe2\x80\xa6'
2019-07-24 13:29:50,b'RT @SanTosHViratngr: @narendramodi @HimaDas8 @PMOIndia @PiyushGoyal @News18Rajasthan @ndtvindia @Ra_THORe @SadhguruJV @rajnathsingh @DrJite\xe2\x80\xa6'
2019-07-24 13:29:49,"b""RT @beebomco: #Netflix's New Pricing vs Old Pricing for #India.\n\nBasic Plan: Old: \xe2\x82\xb9500 | New: \xe2\x82\xb9499/month\nStandard Plan: Old: \xe2\x82\xb9650 | New: \xe2\x82\xb96\xe2\x80\xa6"""
2019-07-24 13:29:43,b'RT @ScienceConnect2: All that outsourcing is paying off. #India https://t.co/VRorayHpQB'
